"ファーザー","橋口　譲二／著","本"
"エレクトロニクス","オーム社","デジタル資料"
"デイヴィッド・ホックニー","デイヴィッド・ホックニー 著","本"
"フリーキック!","原秀則 著","本"
"美術の窓","生活の友社,生活の友社 [編]","デジタル資料"
"小学五年生","小学館","デジタル資料"
"シティーハンター","北条司 著","本"
"タスマニア物語","河合　一慶／まんが","児童書"
"安全","労働省労働基準局,労働省労働基準局安全衛生部 編","デジタル資料"
"瞬きもせず","紡木 たく/著","児童書"
"科学論","秋田大学一般教育委員会／編","本"
"家庭経済学","日本家政学会編","本"
"すうぱあかぐや姫","室山まゆみ 著","児童書"
"小学一年生","小学館","デジタル資料"
"アンネの日記","演劇集団「創造」 ［編］,幸喜　良秀 演出","本"
"信長","池上遼一 画,工藤かずや 作","本"
"いちご同盟","三田誠広 著","児童書"
"区画整理","街づくり区画整理協会,日本土地区画整理協会,建設省都市局,建設省計画局,都市計画協会,土地区画整理研究会","デジタル資料"
"ＫＩＳＳ××××","楠本　まき／著","児童書"
"Sylvan","シルヴァン英米文学研究会 編","デジタル資料"
"ロードス島戦記","水野良 [著]","児童書"
"寒雷","寒雷発行所,交蘭社","デジタル資料"
"ＥＫＥ","中里　友豪 編","本"
"坂本竜馬","宮地佐一郎 著","児童書"
"すてきな片想い","塚本聡子 画,野島伸司 原作","本"
"建設機械","日本工業出版株式会社,建設機械編集委員会 編","デジタル資料"
"岳人","ネイチュアエンタープライズ,東京新聞,中部日本新聞社,岳人社","デジタル資料"
"植生地理学","林一六著","本"
"国宝","毎日新聞社／［編］","本"
"堅香子","倉田欣一／著","本"
"ミュージック・ライフ","シンコーミュージック,新興楽譜出版社,新興音楽出版社","デジタル資料"
"国際交流","国際交流基金 編","デジタル資料"
"作家","作家社 [編]","デジタル資料"
"紀要","茨城県立日立第二高等学校／編","本"
"ヤマタイカ","星野　之宣／著","児童書"
"汲古","古典研究会 (1963年),古典研究会 編","デジタル資料"
"ダンス","武盛寿味子 [ほか]著","本"
"ニセモノ","清水ミチコ 著","本"
"ラプンツェル","グリム [原作],岸川悦子 文,アンティエ・エ・グメルス 絵","児童書"
"エラン","新谷 かおる/著","児童書"
"小説新潮","新潮社","デジタル資料"
"水の炎","松本 清張／著","本"
"農業協同組合","全国指導農業協同組合連合会,全国農業協同組合中央会","デジタル資料"
"インド神話","ヴェロニカ・イオンズ 著,酒井伝六 訳","児童書"
"票田のトラクター","前川つかさ 画,ケニー鍋島 作","本"
"コンバーテック","加工技術研究会","デジタル資料"
"軍事研究","ジャパンミリタリーレビュー","デジタル資料"
"Men at work","GeorgeF.Will","本"
"すてきな三にんぐみ","トミー＝アンゲラー／さく,いまえ　よしとも／やく","児童書"
"セロ弾きのゴーシュ","宮沢　賢治／原作,長岡　輝子／朗読,林　光／解説","児童書"
"エディブルフラワー","小松美枝子著","本"
"放送教育","日本放送教育学会","デジタル資料"
"学校教育","広島大学附属小学校学校教育研究会,広島大学教育学部附属小学校学校教育研究会,広島高等師範学校附属小学校学校教育研究会,広島大学附属小学校学校教育研究会 編","デジタル資料"
"嘆きの天使","山田 花子/著","本"
"信頼性工学","市川昌弘著","本"
"あじ","沼野正子作","児童書"
"河川","日本河川協会","デジタル資料"
